,,,,,,,,,,,,,,,Shape và Size tấm >>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,">>>,2D,inputs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
STT,Mã Thiết Kế,Tên gọi riêng,Dòng hàng,Đường kính vòng (cm),Ni,Shape viên chủ, Size viên chủ , Vàng 18k , Vàng 14k , Pt900 , Vàng 10K ,"Plain/
Pattern", TL tấm (KC) , TL tấm (CZ) ,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,Loại ĐH mặc định khi có bất kỳ chỉnh sửa nào,Kích thước độ DÀY THÂN - Mặc định,Kích thước độ RỘNG THÂN - Mặc định,Kích thước độ DÀY ĐÁY - Mặc định,Kích thước độ RỘNG ĐÁY - Mặc định2,Kích thước độ DÀY ĐIỂM TRÊN - Mặc định,Kích thước độ RỘNG ĐIỂM TRÊN - Mặc định,Kích thước chiều CAO ổ/chấu,Plantinum (Có/Không),Nguyên nhân/Rủi ro Không làm Platinum,"Tên sản phẩm (Công bố Website)
Dòng hàng + Tên gọi riêng + Mã Thiết kế",Tên ngắn gọn,Cảm hứng thiết kế,Bộ sưu tập,Thời gian ra mắt,Image link, Dia+18K , Dia+14K , Dia+Pt900 , CZ+18K , CZ+14K , CZ+Pt900 , Dia+10K , CZ+10K ,Best-Selling,"Kiểu dáng
Main Catalogue","Kiểu dáng
Sub Catalogue",Vàng Trắng,Vàng Vàng,Vàng Hồng,Màu sắc mặc định Catalogue,Tấm (Có/Không),Brand Class,Product Class,Status,New version,Batch
1,BTA0007,Sweet Heart Cube,Bông tai,,,Heart, 5.0*6.0 , 3.84 , 3.30 , 5.05 , 3.02 , Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,,,Bông tai Sweet Heart Cube BTA0007,0,Chocolate,Sweet Ladies,,," 20,460,000 "," 14,850,000 "," 20,830,000 "," 20,460,000 "," 14,850,000 "," 20,830,000 "," 10,910,000 "," 10,910,000 ",,Fashion,All, Yes , Yes , Yes , Hồng , No , FASHION , E3 , Active , -   , - 
2,BTA0008,Choco Bar ,Bông tai,,,,   , 3.03 , 2.83 ,   , 2.25 , Plain , 0.16 ,,Baguette,3.0*2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,,,Bông tai Choco Bar  BTA0008,0,Chocolate,Sweet Ladies,,," 25,020,000 "," 21,380,000 "," 25,570,000 "," 15,820,000 "," 12,170,000 "," 16,360,000 "," 17,160,000 "," 7,950,000 ",,Fashion,All, Yes , Yes , Yes , Vàng , Yes , FASHION , E1 , Active , -   , - 
3,BTA0009,Choco Bar Earring With Round,Bông tai,,,,   , 2.85 , 2.66 ,   , 2.12 , Plain , 0.21 ,,Round,1.3*1.3,10,Round,1.5*1.5,10,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,,,Bông tai Choco Bar Earring With Round BTA0009,0,Chocolate,Sweet Ladies,,," 24,770,000 "," 21,330,000 "," 25,420,000 "," 16,220,000 "," 12,790,000 "," 16,880,000 "," 17,380,000 "," 8,840,000 ",,Fashion,All, Yes , Yes , Yes , Hồng , Yes , FASHION , Class C , Active , -   , - 
4,BTA0010,Choco Cube & Heart ,Bông tai,,,,   , 3.77 , 3.52 ,   ,, Pattern , 0.08 ,,Round,1.5*1.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,,,Bông tai Choco Cube & Heart  BTA0010,0,Chocolate,Sweet Ladies,,," 24,080,000 "," 19,540,000 "," 24,630,000 "," 21,230,000 "," 16,690,000 "," 21,770,000 ", - , - ,,Fashion,All, Yes , Yes , Yes , Trắng-Hồng , Yes , FASHION , E1 , Active , -   , - 
5,BTA0018,,Bông tai,,,,   , 1.65 , 1.51 ,   ,, Plain , 0.03 ,,Round,1.0*1.0,2,Round,1.2*1.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA0018,0,0,Brilliant Layering,,," 11,830,000 "," 9,740,000 "," 12,630,000 "," 10,040,000 "," 7,950,000 "," 10,840,000 ", - , - ,,Fashion,All, Yes , Yes , Yes , Hồng , Yes , FASHION , E1 , Active , -   , - 
6,BTA0019,,Bông tai,,,,   , 1.65 , 1.52 ,   ,, Plain , 0.03 ,,Round,1.2*1.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA0019,0,0,Brilliant Layering,,," 10,980,000 "," 8,930,000 "," 11,690,000 "," 9,690,000 "," 7,630,000 "," 10,400,000 ", - , - ,,Fashion,All, Yes , Yes , Yes , Trắng , Yes , FASHION , E1 , Active , -   , - 
7,BTA0020,Mini Teddy Huggie,Bông tai, , , ,   , 1.69 , 1.55 ,   ,, Plain , 0.01 ,   ,Round,1.2*1.2,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,Không,chi tiết nhỏ,Bông tai Mini Teddy Huggie BTA0020,0,0,Sweet Teddy,,," 10,400,000 "," 8,270,000 ", - ," 9,760,000 "," 7,630,000 ", - , - , - ,,Fashion,All, Yes , Yes , Yes , Vàng , Yes , FASHION , E2 , Active , -   , - 
8,BTA0021,Heart Candy,Bông tai, , , ,   , 2.21 , 2.03 ,   ,, Pattern , -   ,   , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,LOẠI 2,,,,,,,,Không,chi tiết nhỏ,Bông tai Heart Candy BTA0021,0,0,Sweet Teddy,,," 13,260,000 "," 10,480,000 ", - ," 13,260,000 "," 10,480,000 ", - , - , - ,,Fashion,All, Yes , Yes , Yes , Vàng , No , FASHION , E2 , Active , -   , - 
