ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
Pattern,Shape2,Size2,SL2,Shape3,Size3,,
1,Heart,5,3.84,3.3,5.05,,
2,,,3.03,2.83,,,
3,,,2.85,2.66,,,
4,,,3.77,3.52,,,
5,,,1.65,1.51,,,
6,,,1.65,1.52,,,
7,,,1.69,1.55,,,
8,,,2.21,2.03,,,
9,,,1.38,1.16,,,
10,Round,4.5,1.52,1.42,,,
11,Round,4.5,1.51,1.42,,,
12,Round,4.5,1.51,1.41,,,
13,Round,5.4,1.83,1.71,,,
14,Round,4.5,2.84,2.65,,,
15,Round,3.6,2.81,2.62,,,
16,Round,4.5,4.03,3.37,,,
17,Round,4.5,2.83,2.64,,,
18,Round,3.6,1.04,0.97,,,
19,Round,3.6,4.45,4.15,,,
20,Round,3.6,1.45,1.35,,,
21,Heart,5,1.91,1.78,,,
22,Round,3.6,2.37,2.21,,,
23,,,3.4,3.17,,,
24,Round,4.1,2.42,2.02,,,
25,Round,4.1,2.42,2.25,,,
26,Round,3.6,2.96,2.48,,,
27,Round,4.1,3.45,3.21,,,
28,Round,4.1,3.81,3.18,,,
29,Round,4.1,3.06,2.56,,,
30,Round,4.1,2.35,1.96,,,
31,Round,5.4,3.43,2.87,,,
32,Round,5.4,3.44,2.87,,,
33,Round,4.5,3.95,3.68,,,
34,Round,3.6,7.83,7.3,,,
35,Emerald,5.4,3.41,3.18,,,
36,Emerald,5.4,4.71,4.39,,,
37,Emerald,5.4,6.24,5.82,,,
38,,,4.13,3.85,,,
39,,,5.41,4.52,,,
40,Round,5,6.22,5.8,,,
41,Round,4.5,7.16,6.68,,,
42,Round,4.5,5.7,5.32,,,
43,Round,5.4,6.28,5.85,,,
44,Round,4.1,4.64,4.33,,,
45,Round,4.5,4.69,4.37,,,
46,Round,4.6,4.76,4.44,,,
47,Round,4.1,2.85,2.66,,,
48,Round,3.6,6.17,5.75,,,
49,Round,3.6,3.03,2.82,,,
50,Round,4.5,2.62,2.44,,,
51,Round,4.5,3.64,3.39,,,
52,Round,5.2,4.11,3.83,,,
53,Round,4.5,4.55,3.8,,,
54,Round,4.6,4.94,4.6,,,
55,Round,4.5,3.48,3.24,,,
56,Round,4.5,4.15,3.87,,,
57,Cushion,4.5,4.92,4.59,,,
58,Round,3.6,7.67,7.15,,,
59,Round,3.6,5.48,5.11,,,
60,Round,3.6,5.63,5.25,,,
61,,,6.83,6.37,,,
62,Round,3.6,5.53,5.16,,,
63,Round,4.6,4.14,3.86,,,
64,Round,4.5,6.58,6.13,,,
65,Round,4.5,3.66,3.42,,,
66,,,5.27,4.91,,,
67,Emerald,4.5,3.86,3.6,,,
68,Round,5,4.31,4.02,,,
69,Round,4.5,6.09,5.68,,,
70,Round,5.2,5.17,4.82,,,
71,Round,4.6,4.7,4.38,,,
72,Round,5.2,5.18,4.83,,,
73,Round,4.1,2.57,2.4,,,
74,Round,4.5,2.37,2.21,,,
75,Round,5.4,4.25,3.96,,,
76,Cushion,4.5,2.02,1.69,,,
77,Round,4.5,3.46,2.92,,,
78,Cushion,3.6,2.02,1.69,,,
79,Cushion,4,3.93,3.66,,,
80,Round,5.4,4.25,3.96,,,
81,Round,Ngọc trai,4.28,3.58,,,
82,Round,,3.2,2.98,,,
83,,,2.28,2.1,,,
84,,,2.89,2.65,,,
85,,,4.9,4.1,,,
86,,,2.73,2.51,,,
87,,,7.51,7,,,
88,,,2.52,2.35,,,
89,,,4.42,4.12,,,
90,,,3.27,3.04,,,
91,Round,3.6,4.34,4.05,,,
92,Round,3.6,2.7,2.26,,,
93,Round,4.5,7.15,6.67,,,
94,Round,4.5,2.73,2.51,,,
95,Round,4.5,2.16,1.81,,,
96,Round,4.5,3.19,2.66,,,
97,Round,5.4,3.52,3.23,,,
98,Round,4.1,3.16,2.9,,,
99,Round,4.5,2.98,2.74,,,
100,Pear,8,3.43,2.87,,,
101,,,4.48,3.75,,,
102,,,3.32,3.06,,,
103,Round,6.3,2.98,2.78,,,
104,Round,3.6,4.53,4.22,,,
105,Round,4.5,1.86,1.73,,,
106,Pear,6.6,6.06,5.06,,,
107,Pear,4.5,5.66,5.28,,,
108,Round,4.1,4.11,3.44,,,
109,,,4.34,4.05,,,
110,N/A,5,2.88,2.4,,,
111,Round,3.6,5.27,4.91,,,
112,Marquise,6,3.67,3.43,,,
113,Round,5,4.02,3.75,,,
114,Round,4.1,3.53,3.29,,,
115,Oval,8,4.56,4.26,,,
116,Emerald,4.5,4.15,3.81,,,
117,,,2.83,2.64,,,
118,,,4.42,4.13,,,
119,Princess,4.5,10.62,9.91,,,
120,,,7.45,6.95,,,
121,,,5.72,5.34,,,
122,,,3.09,2.88,,,
123,Round,3.6,3.14,2.93,,,
124,Round,3.6,2.24,2.09,,,
125,Princess,4.5,4.38,4.08,,,
126,,,4.71,4.39,,,
127,,,3.98,3.71,,,
128,,,4.6,4.29,,,
129,,,4.55,4.25,,,
130,,,2.47,2.3,,,
131,,,3.55,3.31,,,
132,,,4.39,3.67,,,
133,,,2.32,2.16,,,
134,,,5.35,4.99,,,
135,,,3.85,3.21,,,
136,,,3.54,3.3,,,
137,Round,5.4,4.19,3.91,,,
138,Round,4.7,2.87,2.68,,,
139,Round,4.1,3.6,3.01,,,
140,Heart,5.4,2,1.86,,,
141,Round,4.5,7.68,7.16,,,
142,,,3.07,2.86,,,
143,Round,4.5,3.57,3.33,,,
144,Princess,3.6,4.65,4.34,,,
145,Radiant,6,4.53,4.22,,,
146,,,3.82,3.57,,,
