id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
1,BTA0007,SICULA,BTA,,,Heart,5.0*6.0,2.68,2.46,,Pattern,,
2,BTA0008,SICULA,BTA,,,,,3.03,2.83,,Plain,0.16,
3,BTA0009,SICULA,BTA,,,,,2.85,2.66,,Plain,0.21,
4,BTA0010,SICULA,BTA,,,,,3.77,3.52,,Pattern,0.08,
5,BTA0018,SICULA,BTA,,,,,1.65,1.51,,Plain,0.03,
6,BTA0019,LIZZIE LADIES MIDI COLLECTION,BTA,,,,,1.65,1.52,,Plain,0.03,
,BTA0020,,BTA,,,,,,,,,,
,BTA0021,,BTA,,,,,,,,,,
7,BTA1101,,BTA,,,Round,4.5,1.52,1.42,,Plain,0,0
8,BTA1102,,BTA,,,Round,4.5,1.51,1.42,,Plain,0,0
9,BTA1103,,BTA,,,Round,4.5,1.51,1.41,,Plain,0,0
10,BTA1104,,BTA,,,Round,5.4,1.83,1.71,,Plain,0,0
11,BTA1105,,BTA,,,Round,4.5,2.84,2.65,,Plain,0,0
12,BTA1106,,BTA,,,Round,3.6,2.81,2.62,,Plain,0,0
13,BTA1107,,BTA,,,Round,4.5,4.03,3.37,,Plain,0.29,
14,BTA1108,,BTA,,,Round,4.5,2.83,2.64,,Plain,0.016,
15,BTA1109,,BTA,,,Round,3.6,1.04,0.97,,Plain,0,0
16,BTA1110,,BTA,,,Round,3.6,4.45,4.15,,Pattern,0,0
17,BTA1111,,BTA,,,Round,3.6,1.45,1.35,,Plain,0,0
18,BTA1112,,BTA,,,Heart,5,1.91,1.78,,Plain,0,0
19,BTA1113,,BTA,,,Round,3.6,2.37,2.21,,Pattern,0,0
20,BTA1114,,BTA,,,,,3.4,3.17,,Plain,0.14,
21,BTA2101,,BTA,,,Round,4.1,2.42,2.02,,Plain,0.3,
22,BTA2102,,BTA,,,Round,4.1,2.42,2.25,,Plain,0.33,
23,BTA2103,,BTA,,,Round,3.6,2.96,2.48,,Plain,0.3,
24,BTA2104,,BTA,,,Round,4.1,3.45,3.21,,Plain,0.3,
25,BTA2105,,BTA,,,Round,4.1,3.81,3.18,,Plain,0.29,
26,BTA2106,,BTA,,,Round,4.1,3.06,2.56,,Plain,0.25,
27,BTA2107,,BTA,,,Round,4.1,2.35,1.96,,Plain,0.3,
28,BTA2108,,BTA,,,Round,5.4,3.43,2.87,,Plain,0.35,
29,BTA2109,,BTA,,,Round,5.4,3.44,2.87,,Plain,0.66,
30,BTA2110,,BTA,,,Round,4.5,3.95,3.68,,Plain,0.15,
31,BTA2111,,BTA,,,Round,3.6,7.83,7.3,,Pattern,0.19,
32,BTA2112,,BTA,,,Emerald,5.4,3.41,3.18,,Plain,0.18,
33,BTA2113,,BTA,,,Emerald,5.4,4.71,4.39,,Plain,0.42,
34,BTA2114,,BTA,,,Emerald,5.4,6.24,5.82,,Pattern,0.28,
35,BTA2115,,BTA,,,,,4.13,3.85,,Pattern,0.75,
36,BTA2116,,BTA,,,,,5.41,4.52,,Plain,1.7,
37,BTA2117,,BTA,,,Round,5,6.22,5.8,,Plain,0.64,
38,BTA2118,,BTA,,,Round,4.5,7.16,6.68,,Plain,0.4,
39,BTA2119,,BTA,,,Round,4.5,5.7,5.32,,Plain,0.62,
40,BTA2120,,BTA,,,Round,5.4,6.28,5.85,,Plain,0.343,
41,BTA2121,,BTA,,,Round,4.1,4.64,4.33,,Plain,0.2,
42,BTA2122,,BTA,,,Round,4.5,4.69,4.37,,Plain,0.244,
43,BTA2123,,BTA,,,Round,4.6,4.76,4.44,,Plain,0.2,
44,BTA2124,,BTA,,,Round,4.1,2.85,2.66,,Plain,0.1,
45,BTA2125,,BTA,,,Round,3.6,6.17,5.75,,Plain,0.28,
46,BTA2126,,BTA,,,Round,3.6,3.03,2.82,,Plain,0.33,
47,BTA2127,,BTA,,,Round,4.5,2.62,2.44,,Plain,0.13,
48,BTA2128,,BTA,,,Round,4.5,3.64,3.39,,Plain,0.09,
49,BTA2130,,BTA,,,Round,5.2,4.11,3.83,,Plain,0.078,
50,BTA2131,,BTA,,,Round,4.5,4.55,3.8,,Plain,0.43,
51,BTA2132,,BTA,,,Round,4.6,4.94,4.6,,Plain,0.63,
52,BTA2134,,BTA,,,Round,4.5,3.48,3.24,,Plain,0.23,
53,BTA2135,,BTA,,,Round,4.5,4.15,3.87,,Pattern,0.24,
54,BTA2136,,BTA,,,Cushion,4.5,4.92,4.59,,Plain,0.96,
55,BTA2137,,BTA,,,Round,3.6,7.67,7.15,,Plain,1.56,
56,BTA2138,,BTA,,,Round,3.6,5.48,5.11,,Pattern,0.36,
57,BTA2139,,BTA,,,Round,3.6,5.63,5.25,,Pattern,0.43,
58,BTA2140,,BTA,,,,,6.83,6.37,,Plain,1.37,
59,BTA2141,,BTA,,,Round,3.6,5.53,5.16,,Pattern,0.19,
60,BTA2142,,BTA,,,Round,4.6,4.14,3.86,,Plain,0.3,
61,BTA2143,,BTA,,,Round,4.5,6.58,6.13,,Plain,0.306,
62,BTA2144,,BTA,,,Round,4.5,3.66,3.42,,Pattern,0.6,
63,BTA2145,,BTA,,,,,5.27,4.91,,Plain,0.91,
64,BTA2146,,BTA,,,Emerald,4.5,3.86,3.6,,Plain,0.28,
65,BTA2147,,BTA,,,Round,5,4.31,4.02,,Plain,0.31,
66,BTA2148,,BTA,,,Round,4.5,6.09,5.68,,Plain,0.42,
67,BTA2149,,BTA,,,Round,5.2,5.17,4.82,,Pattern,0.61,
68,BTA2150,,BTA,,,Round,4.6,4.7,4.38,,Plain,0.31,
69,BTA2151,,BTA,,,Round,5.2,5.18,4.83,,Plain,0.61,
70,BTA2152,,BTA,,,Round,4.1,2.57,2.4,,Plain,0.18,
71,BTA2153,,BTA,,,Round,4.5,2.37,2.21,,Plain,0.22,
72,BTA2154,,BTA,,,Round,5.4,4.25,3.96,,Pattern,0.22,
73,BTA2155,,BTA,,,Cushion,4.5,2.02,1.69,,Plain,0.51,
74,BTA2156,,BTA,,,Round,4.5,3.46,2.92,,Plain,0.23,
75,BTA2157,,BTA,,,Cushion,3.6,2.02,1.69,,Plain,0.33,
76,BTA2158,,BTA,,,Cushion,4,3.93,3.66,,Plain,0.63,
77,BTA2159,,BTA,,,Round,5.4,4.25,3.96,,Pattern,0.22,
78,BTA2161,,BTA,,,Round,,3.2,2.98,,Plain,0.4,
79,BTA3101,,BTA,,,,,2.28,2.1,,Plain,0.3,
