ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
1," 20,460,000 "," 14,850,000 "," 20,830,000 "," 20,460,000 "," 14,850,000 "," 20,830,000 "," 10,910,000 "
2," 25,020,000 "," 21,380,000 "," 25,570,000 "," 15,820,000 "," 12,170,000 "," 16,360,000 "," 7,950,000 "
3," 24,770,000 "," 21,330,000 "," 25,420,000 "," 16,220,000 "," 12,790,000 "," 16,880,000 "," 8,840,000 "
4," 24,080,000 "," 19,540,000 "," 24,630,000 "," 21,230,000 "," 16,690,000 "," 21,770,000 ", - 
5," 11,830,000 "," 9,740,000 "," 12,630,000 "," 10,040,000 "," 7,950,000 "," 10,840,000 ", - 
6," 10,980,000 "," 8,930,000 "," 11,690,000 "," 9,690,000 "," 7,630,000 "," 10,400,000 ", - 
7," 10,400,000 "," 8,270,000 ", - ," 9,760,000 "," 7,630,000 ", - , - 
8," 13,260,000 "," 10,480,000 ", - ," 13,260,000 "," 10,480,000 ", - , - 
9," 7,900,000 "," 6,300,000 ", - ," 6,800,000 "," 4,990,000 ", - , - 
10," 9,310,000 "," 7,270,000 ", - ," 9,310,000 "," 7,270,000 ", - ," 4,920,000 "
11," 9,260,000 "," 7,270,000 ", - ," 9,260,000 "," 7,270,000 ", - ," 4,890,000 "
12," 9,260,000 "," 7,230,000 ", - ," 9,260,000 "," 7,230,000 ", - ," 4,890,000 "
13," 10,830,000 "," 8,380,000 ", - ," 10,830,000 "," 8,380,000 ", - ," 5,550,000 "
14," 15,800,000 "," 11,980,000 ", - ," 15,800,000 "," 11,980,000 ", - ," 7,600,000 "
15," 15,650,000 "," 11,870,000 ", - ," 15,650,000 "," 11,870,000 ", - ," 7,540,000 "
16," 42,760,000 "," 36,560,000 "," 43,270,000 "," 25,240,000 "," 19,040,000 "," 25,750,000 ", - 
17," 17,730,000 "," 13,920,000 ", - ," 16,450,000 "," 12,650,000 ", - ," 8,280,000 "
18," 6,950,000 "," 5,550,000 ", - ," 6,950,000 "," 5,550,000 ", - ," 3,940,000 "
19," 23,900,000 "," 17,910,000 ", - ," 23,900,000 "," 17,910,000 ", - ," 11,060,000 "
20," 8,960,000 "," 7,000,000 ", - ," 8,960,000 "," 7,000,000 ", - ," 4,780,000 "
21," 11,220,000 "," 8,650,000 ", - ," 11,220,000 "," 8,650,000 ", - ," 5,710,000 "
22," 13,970,000 "," 11,100,000 "," 14,510,000 "," 13,970,000 "," 11,100,000 "," 14,510,000 ", - 
23," 26,740,000 "," 22,630,000 "," 27,330,000 "," 19,400,000 "," 15,290,000 "," 19,990,000 ", - 
24," 26,020,000 "," 22,280,000 "," 26,730,000 "," 14,610,000 "," 10,870,000 "," 15,320,000 ", - 
25," 27,100,000 "," 24,150,000 "," 27,810,000 "," 14,740,000 "," 11,790,000 "," 15,440,000 ", - 
26," 35,700,000 "," 31,160,000 "," 36,340,000 "," 19,510,000 "," 14,970,000 "," 20,150,000 ", - 
27," 30,570,000 "," 26,380,000 "," 31,150,000 "," 19,160,000 "," 14,960,000 "," 19,740,000 ", - 
28," 33,070,000 "," 27,190,000 "," 33,610,000 "," 20,910,000 "," 15,020,000 "," 21,450,000 ", - 
29," 27,780,000 "," 23,070,000 "," 28,410,000 "," 17,360,000 "," 12,650,000 "," 17,980,000 ", - 
30," 25,710,000 "," 22,080,000 "," 26,430,000 "," 14,300,000 "," 10,660,000 "," 15,010,000 ", - 
31," 32,640,000 "," 27,360,000 "," 33,220,000 "," 19,320,000 "," 14,050,000 "," 19,910,000 ", - 
32," 43,380,000 "," 38,060,000 "," 43,970,000 "," 19,280,000 "," 13,960,000 "," 19,860,000 ", - 
33," 30,110,000 "," 25,330,000 "," 30,630,000 "," 22,010,000 "," 17,230,000 "," 22,530,000 ", - 
34," 48,330,000 "," 39,400,000 "," 44,840,000 "," 38,630,000 "," 29,700,000 "," 35,140,000 ", - 
35," 27,710,000 "," 23,590,000 "," 28,300,000 "," 19,440,000 "," 15,320,000 "," 20,030,000 ", - 
36," 46,720,000 "," 41,020,000 "," 45,910,000 "," 27,420,000 "," 21,720,000 "," 26,610,000 ", - 
37," 50,820,000 "," 44,850,000 ", - ," 34,610,000 "," 28,630,000 ", - , - 
38," 79,650,000 "," 74,660,000 ", - ," 24,690,000 "," 19,690,000 ", - , - 
39," 88,720,000 "," 80,380,000 "," 87,640,000 "," 30,960,000 "," 22,620,000 "," 29,880,000 ", - 
