ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
1.0,BTA0007,Sweet Heart Cube,Bông tai,,,,,
2.0,BTA0008,Choco Bar ,Bông tai,,,,,
3.0,BTA0009,Choco Bar Earring With Round,Bông tai,,,,,
4.0,BTA0010,Choco Cube & Heart ,Bông tai,,,,,
5.0,BTA0018,,Bông tai,,,,,
6.0,BTA0019,,Bông tai,,,,,
7.0,BTA0020,Mini Teddy Huggie,Bông tai, , ,,,
8.0,BTA0021,Heart Candy,Bông tai, , ,,,
9.0,BTA0022,Hoàng Mai Chiêu Lộc,Bông tai,,,,,
10.0,BTA1101,,Bông tai,,,,,
11.0,BTA1102,,Bông tai,,,,,
12.0,BTA1103,,Bông tai,,,,,
13.0,BTA1104,,Bông tai,,,,,
14.0,BTA1105,,Bông tai,,,,,
15.0,BTA1106,,Bông tai,,,,,
16.0,BTA1107,,Bông tai,,,,,
17.0,BTA1108,,Bông tai,,,,,
18.0,BTA1109,,Bông tai,,,,,
19.0,BTA1110,,Bông tai,,,,,
20.0,BTA1111,,Bông tai,,,,,
21.0,BTA1112,,Bông tai,,,,,
22.0,BTA1113,,Bông tai,,,,,
23.0,BTA1114,,Bông tai,,,,,
24.0,BTA2101,,Bông tai,,,,,
25.0,BTA2102,,Bông tai,,,,,
26.0,BTA2103,,Bông tai,,,,,
27.0,BTA2104,,Bông tai,,,,,
28.0,BTA2105,,Bông tai,,,,,
29.0,BTA2106,,Bông tai,,,,,
30.0,BTA2107,,Bông tai,,,,,
31.0,BTA2108,,Bông tai,,,,,
32.0,BTA2109,,Bông tai,,,,,
33.0,BTA2110,,Bông tai,,,,,
34.0,BTA2111,,Bông tai,,,,,
35.0,BTA2112,,Bông tai,,,,,
36.0,BTA2113,,Bông tai,,,,,
37.0,BTA2114,,Bông tai,,,,,
38.0,BTA2115,,Bông tai,,,,,
39.0,BTA2116,,Bông tai,,,,,
40.0,BTA2117,,Bông tai,,,,,
41.0,BTA2118,,Bông tai,,,,,
42.0,BTA2119,,Bông tai,,,,,
43.0,BTA2120,,Bông tai,,,,,
44.0,BTA2121,,Bông tai,,,,,
45.0,BTA2122,,Bông tai,,,,,
46.0,BTA2123,,Bông tai,,,,,
47.0,BTA2124,,Bông tai,,,,,
48.0,BTA2125,,Bông tai,,,,,
49.0,BTA2126,,Bông tai,,,,,
50.0,BTA2127,,Bông tai,,,,,
51.0,BTA2128,,Bông tai,,,,,
52.0,BTA2130,,Bông tai,,,,,
53.0,BTA2131,,Bông tai,,,,,
54.0,BTA2132,,Bông tai,,,,,
55.0,BTA2134,,Bông tai,,,,,
56.0,BTA2135,Vintage Flower,Bông tai,,,,,
57.0,BTA2136,,Bông tai,,,,,
58.0,BTA2137,,Bông tai,,,,,
59.0,BTA2138,Square Petal,Bông tai,,,,,
60.0,BTA2139,,Bông tai,,,,,
61.0,BTA2140,,Bông tai,,,,,
62.0,BTA2141,,Bông tai,,,,,
63.0,BTA2142,,Bông tai,,,,,
64.0,BTA2143,,Bông tai,,,,,
65.0,BTA2144,,Bông tai,,,,,
66.0,BTA2145,,Bông tai,,,,,
67.0,BTA2146,Plumeria ,Bông tai,,,,,
68.0,BTA2147,,Bông tai,,,,,
69.0,BTA2148,,Bông tai,,,,,
70.0,BTA2149,Geometric Sunflower,Bông tai,,,,,
71.0,BTA2150,Lovely Button,Bông tai,,,,,
72.0,BTA2151,,Bông tai,,,,,
73.0,BTA2152,,Bông tai,,,,,
74.0,BTA2153,,Bông tai,,,,,
75.0,BTA2154,Vintage Start,Bông tai,,,,,
76.0,BTA2155,Double Halo Cushion,Bông tai,,,,,
77.0,BTA2156,Little Start,Bông tai,,,,,
78.0,BTA2157,Round & Baguette,Bông tai,,,,,
79.0,BTA2158,Marquise Halo,Bông tai,,,,,
80.0,BTA2159,,Bông tai,,,,,
81.0,BTA2160,,Bông tai,,,,,
82.0,BTA2161,,Bông tai,,,,,
83.0,BTA3101,,Bông tai,,,,,
84.0,BTA3102,,Bông tai,,,,,
85.0,BTA3104,,Bông tai,,,,,
86.0,BTA3105,,Bông tai,,,,,
87.0,BTA3106,,Bông tai,,,,,
88.0,BTA3107,,Bông tai,,,,,
89.0,BTA3108,,Bông tai,,,,,
90.0,BTA3109,,Bông tai,,,,,
91.0,BTA3110,,Bông tai,,,,,
92.0,BTA3111,,Bông tai,,,,,
93.0,BTA3122,,Bông tai,,,,,
94.0,BTA4101,,Bông tai,,,,,
95.0,BTA4102,,Bông tai,,,,,
96.0,BTA4103,,Bông tai,,,,,
97.0,BTA4104,,Bông tai,,,,,
98.0,BTA4105,,Bông tai,,,,,
99.0,BTA4106,,Bông tai,,,,,
100.0,BTA4107,,Bông tai,,,,,
101.0,BTA4111,,Bông tai,,,,,
102.0,BTA4112,,Bông tai,,,,,
103.0,BTA4114,,Bông tai,,,,,
104.0,BTA4115,,Bông tai,,,,,
105.0,BTA4116,,Bông tai,,,,,
106.0,BTA4117,,Bông tai,,,,,
107.0,BTA4119,,Bông tai,,,,,
108.0,BTA4121,,Bông tai,,,,,
109.0,BTA4122,,Bông tai,,,,,
110.0,BTA4123,,Bông tai,,,,,
111.0,BTA4124,,Bông tai,,,,,
112.0,BTA4125,,Bông tai,,,,,
113.0,BTA4126,,Bông tai,,,,,
114.0,BTA4127,,Bông tai,,,,,
115.0,BTA4128,,Bông tai,,,,,
116.0,BTA4131,Vintage Retangle,Bông tai,,,,,
117.0,BTA4132,Anne Queen'S Lace,Bông tai,,,,,
118.0,BTA5101,Anne Queen'S Lace,Bông tai,,,,,
119.0,BTA7001,,Bông tai,,,,,
120.0,BTA7002,,Bông tai,,,,,
121.0,BTA7003,,Bông tai,,,,,
122.0,BTA7004,,Bông tai,,,,,
123.0,BTA7005,,Bông tai,,,,,
124.0,BTA7006,,Bông tai,,,,,
125.0,BTA7007,The Armour,Bông tai,,,,,
