ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
1,20,14,20,20,14,20,10
2,25,21,25,15,12,16,7
3,24,21,25,16,12,16,8
4,24,19,24,21,16,21,-
5,11,9,12,10,7,10,-
6,10,8,11,9,7,10,-
7,10,8,-,9,7,-,-
8,13,10,-,13,10,-,-
9,7,6,-,6,4,-,-
10,9,7,-,9,7,-,4
11,9,7,-,9,7,-,4
12,9,7,-,9,7,-,4
13,10,8,-,10,8,-,5
14,15,11,-,15,11,-,7
15,15,11,-,15,11,-,7
16,42,36,43,25,19,25,-
17,17,13,-,16,12,-,8
18,6,5,-,6,5,-,3
19,23,17,-,23,17,-,11
20,8,7,-,8,7,-,4
21,11,8,-,11,8,-,5
22,13,11,14,13,11,14,-
23,26,22,27,19,15,19,-
24,26,22,26,14,10,15,-
25,27,24,27,14,11,15,-
26,35,31,36,19,14,20,-
27,30,26,31,19,14,19,-
28,33,27,33,20,15,21,-
29,27,23,28,17,12,17,-
30,25,22,26,14,10,15,-
31,32,27,33,19,14,19,-
32,43,38,43,19,13,19,-
33,30,25,30,22,17,22,-
34,48,39,44,38,29,35,-
35,27,23,28,19,15,20,-
36,46,41,45,27,21,26,-
37,50,44,-,34,28,-,-
38,79,74,-,24,19,-,-
39,88,80,87,30,22,29,-
40,50,44,49,29,23,28,-
41,46,38,44,34,26,32,-
42,55,48,54,31,25,30,-
43,54,48,53,33,27,31,-
44,34,28,33,25,19,24,-
45,33,28,33,25,19,24,-
46,39,33,38,27,21,26,-
47,19,15,19,15,12,16,-
48,45,39,43,31,25,29,-
49,27,23,27,18,14,19,-
50,24,20,24,16,13,17,-
51,25,21,26,19,15,20,-
52,27,22,-,21,16,-,-
53,42,35,42,25,18,26,-
54,34,28,33,27,21,26,-
55,31,27,32,20,16,21,-
56,38,33,39,25,20,26,-
57,39,33,38,25,19,24,-
58,111,103,108,40,31,36,-
59,44,38,43,31,24,30,-
60,47,41,46,31,25,30,-
61,85,77,84,32,25,31,-
62,40,33,39,30,23,29,-
63,39,34,40,24,19,25,-
64,53,46,52,35,27,33,-
65,43,39,-,21,17,-,-
66,67,61,66,26,20,25,-
67,33,28,33,21,16,21,-
68,36,31,37,24,18,24,-
69,54,49,53,33,27,31,-
70,58,51,57,29,22,28,-
71,35,30,35,25,19,24,-
72,48,42,47,28,22,27,-
73,21,18,22,14,11,15,-
74,21,19,22,13,10,14,-
75,35,30,-,25,20,-,-
76,33,30,34,15,11,15,-
77,28,23,29,19,13,19,-
78,30,27,31,15,11,15,-
79,46,42,47,23,18,23,-
80,35,30,36,25,20,26,-
81,29,23,-,23,16,-,-
82,34,30,34,18,14,18,-
83,25,22,26,13,11,14,-
84,51,48,52,18,14,18,-
85,33,26,32,25,17,24,-
86,54,50,55,19,16,20,-
87,47,39,45,35,26,33,-
88,45,42,46,17,14,17,-
89,29,24,30,24,19,25,-
90,33,29,33,19,15,20,-
91,33,28,34,23,18,24,-
92,22,17,-,16,11,-,-
93,84,76,82,39,31,37,-
94,14,10,14,14,10,14,-
95,21,18,22,14,11,15,-
96,32,27,32,20,15,20,-
97,32,28,33,20,16,21,-
98,32,28,33,18,14,19,-
99,28,24,29,18,14,18,-
100,35,30,36,20,14,20,-
101,34,27,34,24,17,25,-
102,49,45,50,22,18,22,-
103,28,25,29,15,11,16,-
104,45,39,45,24,19,24,-
105,19,17,-,12,10,-,7
106,60,53,61,33,25,33,-
107,85,78,84,33,26,32,-
108,40,34,41,23,16,23,-
109,63,57,63,23,18,23,-
110,33,28,33,18,14,19,-
111,44,38,-,30,23,-,-
112,41,36,41,19,15,20,-
113,40,35,41,23,18,23,-
114,26,22,27,19,14,19,-
115,103,98,104,28,23,29,-
116,39,34,40,26,21,26,-
117,32,28,-,19,15,-,-
118,40,34,-,26,21,-,-
119,49,39,47,44,34,42,-
