ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
1,BTA0007,Sweet Heart Cube,Bông tai,,,,,,Active
2,BTA0008,Choco Bar,Bông tai,,,,,,Active
3,BTA0009,Choco Bar Earring With Round,Bông tai,,,,,,Active
4,BTA0010,Choco Cube & Heart,Bông tai,,,,,,Active
5,BTA0018,,Bông tai,,,,,,Active
6,BTA0019,,Bông tai,,,,,,Active
7,BTA0020,Mini Teddy Huggie,Bông tai,,,,,,Active
8,BTA0021,Heart Candy,Bông tai,,,,,,Active
9,BTA0022,Hoàng Mai Chiêu Lộc,Bông tai,,,,,,Active
10,BBT1101,,Bông tai,,,,,,Active
11,BBT1102,,Bông tai,,,,,,Active
12,BBT1103,,Bông tai,,,,,,Active
13,BBT1104,,Bông tai,,,,,,Active
14,BBT1105,,Bông tai,,,,,,Active
15,BBT1106,,Bông tai,,,,,,Active
16,BTA1107,,Bông tai,,,,,,Active
17,BBT1108,,Bông tai,,,,,,Active
18,BBT1109,,Bông tai,,,,,,Active
19,BBT1110,,Bông tai,,,,,,Active
20,BBT1111,,Bông tai,,,,,,Active
21,BBT1112,,Bông tai,,,,,,Active
22,BTA1113,,Bông tai,,,,,,Active
23,BTA1114,,Bông tai,,,,,,Active
24,BTA2101,,Bông tai,,,,,,Active
25,BTA2102,,Bông tai,,,,,,Active
26,BTA2103,,Bông tai,,,,,,Active
27,BTA2104,,Bông tai,,,,,,Active
28,BTA2105,,Bông tai,,,,,,Active
29,BTA2106,,Bông tai,,,,,,Active
30,BTA2107,,Bông tai,,,,,,Active
31,BTA2108,,Bông tai,,,,,,Active
32,BTA2109,,Bông tai,,,,,,Active
33,BTA2110,,Bông tai,,,,,,Active
34,BTA2111,,Bông tai,,,,,,Active
35,BTA2112,,Bông tai,,,,,,Active
36,BTA2113,,Bông tai,,,,,,Active
37,BTA2114,,Bông tai,,,,,,Inactive
38,BTA2115,,Bông tai,,,,,,Inactive
39,BTA2116,,Bông tai,,,,,,Active
40,BTA2117,,Bông tai,,,,,,Active
41,BTA2118,,Bông tai,,,,,,Inactive
42,BTA2119,,Bông tai,,,,,,Active
43,BTA2120,,Bông tai,,,,,,Active
44,BTA2121,,Bông tai,,,,,,Inactive
45,BTA2122,,Bông tai,,,,,,Active
46,BTA2123,,Bông tai,,,,,,Active
47,BTA2124,,Bông tai,,,,,,Active
48,BTA2125,,Bông tai,,,,,,Active
49,BTA2126,,Bông tai,,,,,,Active
50,BTA2127,,Bông tai,,,,,,Active
51,BTA2128,,Bông tai,,,,,,Active
52,BTA2130,,Bông tai,,,,,,Active
53,BTA2131,,Bông tai,,,,,,Active
54,BTA2132,,Bông tai,,,,,,Active
55,BTA2134,,Bông tai,,,,,,Active
56,BTA2135,Vintage Flower,Bông tai,,,,,,Active
57,BTA2136,,Bông tai,,,,,,Active
58,BTA2137,,Bông tai,,,,,,Active
59,BTA2138,Square Petal,Bông tai,,,,,,Active
60,BTA2139,,Bông tai,,,,,,Active
61,BTA2140,,Bông tai,,,,,,Active
62,BTA2141,,Bông tai,,,,,,Active
63,BTA2142,,Bông tai,,,,,,Active
64,BTA2143,,Bông tai,,,,,,Active
65,BTA2144,,Bông tai,,,,,,Active
66,BTA2145,,Bông tai,,,,,,Active
67,BTA2146,Plumeria,Bông tai,,,,,,Active
68,BTA2147,,Bông tai,,,,,,Active
